DS,Site,Crop,Field Type,Stage,Part,Season,Richness,Shannon,Abundance,Damage,E,PH,RF,RH,T
NE,Seethaeliya,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.126930545,108,16,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Leeks,Agriculture,Mature,Leaf,rainy,2,0.110453047,430,68,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Leeks,Agriculture,Mature,Stem,non-rainy,2,0.562335145,4,2,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Leeks,Agriculture,Mature,Stem,rainy,2,0.450561209,12,10,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Radish,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,4,5.5,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Radish,Agriculture,Mature,Leaf,rainy,2,0.540204142,13,23,1912,6.06,3.935,80.6,16
NE,Talawakele,Banana pepper,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1206,6.82,3.8,83.9,22
NE,Talawakele,Banana pepper,Agriculture,Mature,Leaf,rainy,1,0,4,7,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Beans,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,0.5,1206,6.82,3.8,83.9,22
NE,Talawakele,Beans,Agriculture,Mature,Leaf,rainy,2,0.562335145,8,2,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Beans,Agriculture,Mature,Pod,non-rainy,1,0,1,0,1206,6.82,3.8,83.9,22
NE,Talawakele,Beans,Agriculture,Mature,Pod,rainy,1,0,4,1,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Bell pepper,Polytunnel,Mature,Flower,non-rainy,1,0,1,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Bell pepper,Polytunnel,Mature,Flower,rainy,1,0,4,5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Bell pepper,Polytunnel,Mature,Leaf,non-rainy,2,0.693147181,2,1.5,1206,6.82,3.8,83.9,22
NE,Talawakele,Bell pepper,Polytunnel,Mature,Leaf,rainy,2,0.673011667,5,7.5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Cabbage,Agriculture,Mature,Leaf,non-rainy,4,1.329661349,6,2.5,1206,6.82,3.8,83.9,22
NE,Talawakele,Cabbage,Agriculture,Mature,Leaf,rainy,5,1.367964855,21,9.6,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Chinese cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Chinese cabbage,Agriculture,Mature,Leaf,rainy,3,1.009613758,15,5.333333333,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Lettuce,Agriculture,Mature,Leaf,non-rainy,4,1.329661349,6,4.25,1206,6.82,3.8,83.9,22
NE,Talawakele,Lettuce,Agriculture,Mature,Leaf,rainy,6,1.497726162,24,13.16666667,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Tomato,Agriculture,Mature,Flower,rainy,1,0,1,4,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,6,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Tomato,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,3,1206,6.82,3.8,83.9,22
NE,Talawakele,Tomato,Agriculture,Mature,Leaf,rainy,2,0.673011667,10,12.5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Zucchini,Agriculture,Mature,Fruit,non-rainy,1,0,1,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Zucchini,Agriculture,Mature,Fruit,rainy,1,0,2,5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Zucchini,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Zucchini,Agriculture,Mature,Leaf,rainy,2,0.562335145,4,3.5,1206,7.02,8.685,88.7,20.4
NE,Waverley,Beans,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1388,5.31,3.8,83.3,24.4
NE,Waverley,Beans,Agriculture,Mature,Leaf,rainy,1,0,3,2,1388,6.425,4.4,89.6,23.2
NE,Waverley,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,6,6,1388,5.31,3.8,83.3,24.4
NE,Waverley,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.610864302,20,24,1388,6.425,4.4,89.6,23.2
NE,Waverley,Carrot,Agriculture,Mature,Leaf,rainy,1,0,1,1,1388,6.425,4.4,89.6,23.2
NE,Waverley,Leeks,Agriculture,Mature,Leaf,non-rainy,1,0,3,8,1388,5.31,3.8,83.3,24.4
NE,Waverley,Leeks,Agriculture,Mature,Leaf,rainy,1,0,12,36,1388,6.425,4.4,89.6,23.2
NE,Waverley,Leeks,Agriculture,Mature,Stem,non-rainy,1,0,1,0,1388,5.31,3.8,83.3,24.4
NE,Waverley,Leeks,Agriculture,Mature,Stem,rainy,1,0,2,1,1388,6.425,4.4,89.6,23.2
NE,Waverley,Potato,Agriculture,Mature,Leaf,rainy,1,0,1,1,1388,6.425,4.4,89.6,23.2
WP,Ambagaspitiya,Beans,Agriculture,Mature,Leaf,rainy,1,0,1,5,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.098612289,3,3,731,5.84,1.8,84.3,27.3
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Leaf,rainy,3,1.060856947,9,12.33333333,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Root,non-rainy,1,0,1,1,731,5.84,1.8,84.3,27.3
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Root,rainy,1,0,2,3,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Leeks,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,731,5.84,1.8,84.3,27.3
WP,Ambagaspitiya,Leeks,Agriculture,Mature,Leaf,rainy,1,0,2,6,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Leeks,Agriculture,Mature,Root,rainy,1,0,1,1,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Onion,Agriculture,Mature,Leaf,rainy,1,0,1,2,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Onion,Agriculture,Mature,Root,rainy,1,0,1,3,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Tomato,Agriculture,Mature,Leaf,rainy,3,1.098612289,3,4,731,6.105,7.065,83.4,23.7
WP,Keenagolla,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,4,869,6.92,3.6,76,26.3
WP,Keenagolla,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.955699891,7,11.33333333,869,6.61,4.3,87.75,22.3
WP,Keenagolla,Cabbage,Agriculture,Mature,Root,non-rainy,1,0,1,1,869,6.92,3.6,76,26.3
WP,Keenagolla,Cabbage,Agriculture,Mature,Root,rainy,1,0,2,6,869,6.61,4.3,87.75,22.3
WP,Keenagolla,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,9,869,6.61,4.3,87.75,22.3
WP,Keenagolla,Tomato,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,2.5,869,6.61,4.3,87.75,22.3
WP,Kumbalgama,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,4,614,5.91,4.8,76.6,24.8
WP,Kumbalgama,Cabbage,Agriculture,Mature,Leaf,rainy,1,0,2,17,614,6.355,7.735,82.2,21
WP,Kumbalgama,Onion,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,3.5,614,6.355,7.735,82.2,21
WP,Kumbalgama,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,614,5.91,4.8,76.6,24.8
WP,Kumbalgama,Radish,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,4,614,6.355,7.735,82.2,21
WP,Lidesdialwatta,Banana pepper,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,0.5,1623,5.8,4.8,77.2,22.5
WP,Lidesdialwatta,Banana pepper,Agriculture,Mature,Leaf,rainy,2,0.673011667,5,3,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Carrot,Agriculture,Mature,Leaf,rainy,1,0,1,1,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Carrot,Agriculture,Mature,Root,rainy,2,0.693147181,2,1,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,3.5,1623,5.8,4.8,77.2,22.5
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Leaf,rainy,3,0.955699891,7,11.33333333,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Root,non-rainy,1,0,1,0,1623,5.8,4.8,77.2,22.5
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Root,rainy,2,0.562335145,4,1.5,1623,5.29,9.9,85.35,22.3
WP,Maturata,Beans,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1043,6.16,3.6,73.7,24.4
WP,Maturata,Beans,Agriculture,Mature,Leaf,rainy,1,0,2,8,1043,6.635,5.8,81.35,22.5
WP,Maturata,Beans,Agriculture,Mature,Pod,rainy,1,0,1,7,1043,6.635,5.8,81.35,22.5
WP,Maturata,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,7,1043,6.635,5.8,81.35,22.5
WP,Maturata,Tomato,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1043,6.16,3.6,73.7,24.4
WP,Maturata,Tomato,Agriculture,Mature,Leaf,rainy,1,0,3,7,1043,6.635,5.8,81.35,22.5
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,3.5,1012,5.82,3.6,87.7,23.2
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.636514168,6,16.5,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Root,non-rainy,2,0.693147181,2,0.5,1012,5.82,3.6,87.7,23.2
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Root,rainy,2,0.673011667,5,2.5,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1012,5.82,3.6,87.7,23.2
WP,Puswalapitiya,Radish,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,2.5,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,11,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Tomato,Agriculture,Mature,Leaf,rainy,1,0,1,5,1012,6.28,6.8,92.2,23.1
WP,Ragala,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,6,1438,5.63,4.8,78.2,19.6
WP,Ragala,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.661563238,8,25.5,1438,6.32,9.935,85.6,19.3
WP,Ragala,Carrot,Agriculture,Mature,Leaf,rainy,1,0,1,1,1438,6.32,9.935,85.6,19.3
WP,Ragala,German Turnip,Agriculture,Mature,Leaf,rainy,1,0,1,15,1438,6.32,9.935,85.6,19.3
WP,Ragala,Leeks,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,1438,5.63,4.8,78.2,19.6
WP,Ragala,Leeks,Agriculture,Mature,Leaf,rainy,2,0.500402424,5,7,1438,6.32,9.935,85.6,19.3
WP,Ragala,Lettuce,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1438,5.63,4.8,78.2,19.6
WP,Ragala,Lettuce,Agriculture,Mature,Leaf,rainy,1,0,2,7,1438,6.32,9.935,85.6,19.3
WP,Ragala,Onion,Agriculture,Mature,Leaf,rainy,1,0,1,1,1438,6.32,9.935,85.6,19.3
WP,Ragala,Onion,Agriculture,Mature,Root,rainy,1,0,1,2,1438,6.32,9.935,85.6,19.3
WP,Uda pussellawa,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1308,5.3,4.8,78.2,23.7
WP,Uda pussellawa,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.562335145,4,5,1308,6.01,9,86.5,19.3
WP,Uda pussellawa,Cabbage,Agriculture,Mature,Root,rainy,1,0,1,2,1308,6.01,9,86.5,19.3
WP,Udagama,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1318,5.22,3.6,83.8,24.6
WP,Udagama,Cabbage,Agriculture,Mature,Leaf,rainy,4,1.33217904,5,3.5,1318,5.095,6.915,86.95,22.5
WP,Udagama,Cabbage,Agriculture,Mature,Root,non-rainy,1,0,1,0,1318,5.22,3.6,83.8,24.6
WP,Udagama,Cabbage,Agriculture,Mature,Root,rainy,1,0,3,1,1318,5.095,6.915,86.95,22.5
WP,Udagama,Chili,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,6.5,1318,5.095,6.915,86.95,22.5
WP,Walapane,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,4.5,675,5.19,4.8,76.2,24.6
WP,Walapane,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.955699891,7,13.66666667,675,5.11,7.4,81.45,21
AG,Bloomfield,Radish,Agriculture,Nursery,Leaf,rainy,1,0,1,21,1096,5.385,5.835,72.9,22.7
AG,Dehigasthenna,Ornamentals,Polytunnel,Nursery,Bud,rainy,1,0,1,1,790,5.6,4.66,98.6,24.3
AG,Dehigasthenna,Ornamentals,Polytunnel,Nursery,Leaf,rainy,1,0,3,2,790,5.6,4.66,98.6,24.3
AG,Dehigasthenna,Ornamentals,Polytunnel,Nursery,Seedling,non-rainy,1,0,1,1,790,6.47,3.25,80.2,25.4
AG,Dehigasthenna,Ornamentals,Polytunnel,Nursery,Seedling,rainy,1,0,3,6,790,5.6,4.66,98.6,24.3
AG,Hatton,Lettuce,Agriculture,Nursery,Seedling,non-rainy,1,0,1,3,1262,5.77,5.8,73.1,24.9
AG,Hatton,Lettuce,Agriculture,Nursery,Seedling,rainy,3,1.039720771,4,12.33333333,1262,6.905,5.91,82.35,24.3
HK,Adikarigama,Ornamentals,Polytunnel,Nursery,Bud,rainy,2,0.636514168,3,5,525,7.83,4.25,88.4,22.8
HK,Adikarigama,Ornamentals,Polytunnel,Nursery,Flower,non-rainy,2,0.636514168,3,1,525,7.88,1.6,81.8,27
HK,Adikarigama,Ornamentals,Polytunnel,Nursery,Flower,rainy,2,0.664528439,21,5.5,525,7.83,4.25,88.4,22.8
HK,Adikarigama,Ornamentals,Polytunnel,Nursery,Leaf,rainy,2,0.686961577,9,3.25,525,7.83,4.25,88.4,22.8
HK,Rikillagaskada,Radish,Agriculture,Nursery,Leaf,non-rainy,1,0,1,1,882,5.67,1.8,89.8,25.6
HK,Rikillagaskada,Radish,Agriculture,Nursery,Leaf,rainy,1,0,2,6,882,6.35,5.98,91.9,24
HK,Rikillagaskada,Radish,Agriculture,Nursery,Seedling,non-rainy,2,0.693147181,2,2,882,5.67,1.8,89.8,25.6
HK,Rikillagaskada,Radish,Agriculture,Nursery,Seedling,rainy,2,0.636514168,6,9,882,6.35,5.98,91.9,24
KT,Beramana,Chili,Agriculture,Nursery,Seedling,non-rainy,3,1.098612289,3,3.333333333,976,6.23,1.6,78.2,25.1
KT,Beramana,Chili,Agriculture,Nursery,Seedling,rainy,3,1.029653014,10,14,976,6.155,4.185,88.2,23.3
KT,Beramana,Pumpkin,Agriculture,Nursery,Seedling,non-rainy,1,0,2,5,976,6.23,1.6,78.2,25.1
KT,Beramana,Pumpkin,Agriculture,Nursery,Seedling,rainy,2,0.376770161,8,21.5,976,6.155,4.185,88.2,23.3
KT,Kothmalgama,Ornamentals,Polytunnel,Nursery,Bud,rainy,2,0.693147181,2,1.5,1028,4.55,2.65,88.5,20.6
KT,Kothmalgama,Ornamentals,Polytunnel,Nursery,Leaf,non-rainy,1,0,1,1,1028,4.57,3.12,70.7,23.7
KT,Kothmalgama,Ornamentals,Polytunnel,Nursery,Leaf,rainy,2,0.636514168,6,2.25,1028,4.55,2.65,88.5,20.6
KT,Kothmalgama,Ornamentals,Polytunnel,Nursery,Seedling,non-rainy,2,0.636514168,3,1,1028,4.57,3.12,70.7,23.7
KT,Kothmalgama,Ornamentals,Polytunnel,Nursery,Seedling,rainy,2,0.661563238,8,5,1028,4.55,2.65,88.5,20.6
KT,Mahaweligama,Chili,Polytunnel,Nursery,Seedling,non-rainy,3,1.098612289,3,7.333333333,1096,6.34,1.6,81.4,23.1
KT,Mahaweligama,Chili,Polytunnel,Nursery,Seedling,rainy,4,1.279854226,10,23.75,1096,5.78,2.575,85.3,22.7
NE,Agarapathana,Lettuce,Agriculture,Nursery,Seedling,non-rainy,2,0.636514168,12,13,1387,7.05,3.8,81,24.4
NE,Agarapathana,Lettuce,Agriculture,Nursery,Seedling,rainy,2,0.636514168,45,55.5,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Red lettuce,Agriculture,Nursery,Seedling,non-rainy,2,0.636514168,6,12.5,1387,7.05,3.8,81,24.4
NE,Agarapathana,Red lettuce,Agriculture,Nursery,Seedling,rainy,2,0.655481774,22,53.5,1387,6.775,5.39,87.85,21.2
NE,Kotagala,Lettuce,Agriculture,Nursery,Seedling,non-rainy,3,0.955699891,7,9.333333333,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Lettuce,Agriculture,Nursery,Seedling,rainy,3,0.901226251,26,40.33333333,1246,7.185,5.9,85.75,24.2
NE,Meepilimanna,Zucchini,Agriculture,Nursery,Seedling,non-rainy,1,0,3,9,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Zucchini,Agriculture,Nursery,Seedling,rainy,1,0,11,37,1916,5.965,10.265,87.35,21.8
NE,Nanu oya,Lettuce,Agriculture,Nursery,Seedling,non-rainy,3,0.501046914,21,10.66666667,1658,6.97,11.3,78,23.4
NE,Nanu oya,Lettuce,Agriculture,Nursery,Seedling,rainy,3,0.431819403,82,47,1658,6.47,13.695,80.55,22.1
NE,Nuwara Eliya,Leeks,Agriculture,Nursery,Seedling,non-rainy,3,0.559834326,23,11.33333333,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Leeks,Agriculture,Nursery,Seedling,rainy,3,0.463336236,87,48.33333333,1906,6.06,5.03,80.2,17.8
NE,Nuwara Eliya,Ornamentals,Polytunnel,Nursery,Flower,rainy,1,0,1,1,1906,6.06,5.03,80.2,17.8
NE,Nuwara Eliya,Ornamentals,Polytunnel,Nursery,Leaf,non-rainy,1,0,1,1,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Ornamentals,Polytunnel,Nursery,Leaf,rainy,1,0,3,6,1906,6.06,5.03,80.2,17.8
NE,Seethaeliya,Carrot,Agriculture,Nursery,Seedling,non-rainy,2,0.264052052,27,15,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Carrot,Agriculture,Nursery,Seedling,rainy,2,0.217518571,106,65,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Radish,Agriculture,Nursery,Seedling,non-rainy,2,0.410116318,7,7.5,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Radish,Agriculture,Nursery,Seedling,rainy,2,0.35762716,26,34,1912,6.06,3.935,80.6,16
NE,Talawakele,Lettuce,Agriculture,Nursery,Seedling,non-rainy,2,0.673011667,5,13.5,1206,6.82,3.8,83.9,22
NE,Talawakele,Lettuce,Agriculture,Nursery,Seedling,rainy,2,0.688138814,20,58,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Zucchini,Agriculture,Nursery,Seedling,non-rainy,1,0,2,6,1206,6.82,3.8,83.9,22
NE,Talawakele,Zucchini,Agriculture,Nursery,Seedling,rainy,1,0,6,24,1206,7.02,8.685,88.7,20.4
WP,Keenagolla,Tomato,Agriculture,Nursery,Seedling,non-rainy,2,0.693147181,2,7.5,869,6.92,3.6,76,26.3
WP,Keenagolla,Tomato,Agriculture,Nursery,Seedling,rainy,2,0.661563238,8,31,869,6.61,4.3,87.75,22.3
WP,Maturata,Tomato,Agriculture,Nursery,Seedling,rainy,1,0,1,9,1043,6.635,5.8,81.35,22.5
WP,Puswalapitiya,Tomato,Agriculture,Nursery,Seedling,rainy,1,0,1,13,1012,6.28,6.8,92.2,23.1
WP,Ragala,Lettuce,Agriculture,Nursery,Seedling,non-rainy,1,0,1,11,1438,5.63,4.8,78.2,19.6
WP,Ragala,Lettuce,Agriculture,Nursery,Seedling,rainy,1,0,5,46,1438,6.32,9.935,85.6,19.3
WP,Udagama,Chili,Agriculture,Nursery,Seedling,non-rainy,1,0,1,8,1318,5.22,3.6,83.8,24.6
WP,Udagama,Chili,Agriculture,Nursery,Seedling,rainy,2,0.562335145,4,25,1318,5.095,6.915,86.95,22.5
WP,Walapane,Ornamentals,Polytunnel,Nursery,Flower,rainy,2,0.636514168,3,7,675,5.11,7.4,81.45,21
KT,Labukele,Cabbage,Agriculture,Young,Leaf,non-rainy,1,0,11,10,1715,4.48,2.7,50,22.7
KT,Labukele,Cabbage,Agriculture,Young,Leaf,rainy,1,0,42,45,1715,6.095,3.95,71.85,22.3
KT,Mahaweligama,Chili,Agriculture,Young,Leaf,non-rainy,2,0.693147181,2,7,1096,6.34,1.6,81.4,23.1
KT,Mahaweligama,Chili,Agriculture,Young,Leaf,rainy,3,1.011404265,6,23.33333333,1096,5.78,2.575,85.3,22.7
KT,Mahaweligama,Chili,Agriculture,Young,Root,rainy,1,0,1,4,1096,5.78,2.575,85.3,22.7
WP,Ambagaspitiya,Eggplant,Agriculture,Young,Flower,rainy,1,0,1,1,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Eggplant,Agriculture,Young,Leaf,rainy,1,0,1,2,731,6.105,7.065,83.4,23.7
WP,Keenagolla,Beetroot,Agriculture,Young,Leaf,rainy,2,0.693147181,2,5,869,6.61,4.3,87.75,22.3
WP,Keenagolla,Beetroot,Agriculture,Young,Root,non-rainy,1,0,1,2,869,6.92,3.6,76,26.3
WP,Keenagolla,Beetroot,Agriculture,Young,Root,rainy,1,0,2,7,869,6.61,4.3,87.75,22.3
WP,Ragala,Carrot,Agriculture,Young,Leaf,non-rainy,2,0.693147181,2,5,1438,5.63,4.8,78.2,19.6
WP,Ragala,Carrot,Agriculture,Young,Leaf,rainy,2,0.673011667,5,21.5,1438,6.32,9.935,85.6,19.3